Indicador;Tema;SubTema;Ind_Esp;Ind_Val
1;Población;Estructura de la población;Población residente;Poblaci√≥ resident
2;Población;Estructura de la población;Densidad de población;Densitat de poblaci√≥
3;Población;Estructura de la población;Variación anual de la población;Variaci√≥ anual de la poblaci√≥
4;Población;Estructura de la población;Relación de masculinidad de la población;Relaci√≥ de masculinitat de la poblaci√≥
5;Población;Estructura de la población;Proporción de población menor de 16 años;Proporci√≥ de poblaci√≥ menor de 16 anys
6;Población;Estructura de la población;Proporción de población de 16 a 64 años;Proporci√≥ de poblaci√≥ de 16 a 64 anys
7;Población;Estructura de la población;Proporción de población mayor de 64 años;Proporci√≥ de poblaci√≥ major de 64 anys
8;Población;Estructura de la población;Población de 0 a 2 años;Poblaci√≥ de 0 a 2 anys
9;Población;Estructura de la población;Población de 3 a 5 años;Poblaci√≥ de 3 a 5 anys
10;Población;Estructura de la población;Población de 6 a 11 años;Poblaci√≥ de 6 a 11 anys
11;Población;Estructura de la población;Población de 12 a 15 años;Poblaci√≥ de 12 a 15 anys
12;Población;Estructura de la población;Proporción de población menor de 18 años;Proporci√≥ de poblaci√≥ menor de 18 anys
13;Población;Estructura de la población;Edad media;Edat mitjana
14;Población;Estructura de la población;Edad media de los hombres;Edat mitjana dels homes
15;Población;Estructura de la población;Edad media de las mujeres;Edat mitjana de les dones
16;Población;Estructura de la población;Índice de envejecimiento;√çndex d'envelliment
17;Población;Estructura de la población;Índice de sobre envejecimiento;√çndex de sobrenvelliment
18;Población;Estructura de la población;Índice demográfico de dependencia global;√çndex demogr√†fic de depend√®ncia global
19;Población;Estructura de la población;Raó de progresividad demográfica;Ra√≥ de progressivitat demogr√†fica
20;Población;Estructura de la población;Índice de estructura de la población en edad activa;√çndex d'estructura de la poblaci√≥ en edat activa
21;Población;Estructura de la población;Índice de reemplazo de la población en edad activa;√çndex de reempla√ßament de la poblaci√≥ en edat activa
22;Población;Estructura de la población;Porcentaje de población de nacionalidad extranjera;Percentatge de poblaci√≥ de nacionalitat estrangera
23;Población;Estructura de la población;Distribución porcentual de la población de nacionalidad extranjera;Distribuci√≥ percentual de la poblaci√≥ de nacionalitat estrangera
24;Población;Estructura de la población;Relación de masculinidad de la población de nacionalidad extranjera;Relaci√≥ de masculinitat de la poblaci√≥ de nacionalitat estrangera
25;Población;Estructura de la población;Edad media de la población extranjera;Edat mitjana de la poblaci√≥ estrangera
26;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de la Unión Europea;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera de la Uni√≥ Europea
27;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera Europea no UE;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera Europea no UE
28;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de África;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'√Äfrica
29;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de América del Norte;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'Am√®rica del Nord
30;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de América Central;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'Am√®rica Central
31;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de América del Sur;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'Am√®rica del Sud
32;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de Asia Oceanía o apátrida;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'√Äsia, Oceania o ap√†trida
33;Población;Estructura de la población;Índice de autoctonía;√çndex d'autoctonia
34;Población;Estructura de la población;Índice de autoctonía provincial;√çndex d'autoctonia provincial
35;Población;Estructura de la población;Índice de autoctonía Comunidad Valenciana;√çndex d'autoctonia Comunitat Valenciana
36;Población;Estructura de la población;Índice de autoctonía estatal;√çndex d'autoctonia estatal
37;Población;Estructura de la población;Índice de aloctonía estatal;√çndex d'aloctonia estatal
38;Población;Estructura de la población;Índice de autoctonía UE;√çndex d'autoctonia UE
39;Población;Estructura de la población;Población de 18 años o más con nivel de estudios inferior a Bachillerato;Poblaci√≥ de 18 anys o m√©s amb nivell d'estudis inferior a Batxillerat
40;Población;Estructura de la población;Población de 18 o más años con nivel de estudios de Bachillerato o superior;Poblaci√≥ de 18 anys o m√©s amb nivell d'estudis de Batxillerat o superior
41;Población;Convivencia;Número medio de personas por unidad familiar;Nombre mitj√† de persones per full familiar
42;Población;Convivencia;Porcentaje de unidades familiares unipersonales;Percentatge de fulls familiars unipersonals
43;Población;Convivencia;Porcentaje de unidades familiares de 2 personas;Percentatge de fulls familiars de 2 persones
44;Población;Convivencia;Porcentaje de unidades familiares de 3 personas;Percentatge de fulls familiars de 3 persones
45;Población;Convivencia;Porcentaje de unidades familiares de 4 personas;Percentatge de fulls familiars de 4 persones
46;Población;Convivencia;Porcentaje de unidades familiares de 5 o más personas;Percentatge de fulls familiars de 5 o m√©s persones
47;Población;Convivencia;Porcentaje de unidades familiares de sólo personas mayores de 64 años;Percentatge de fulls familiars de nom√©s persones majors de 64 anys
48;Población;Convivencia;Porcentaje de unidades familiares de sólo personas mayores de 79 años;Percentatge de fulls familiars de nom√©s persones majors de 79 anys
49;Población;Convivencia;Mayores de 64 años en unidades familiares unipersonales;Majors de 64 anys en fulls familiars unipersonals
50;Población;Convivencia;Porcentaje de unidades familiares con menores de 18 años;Percentatge de fulls familiars amb menors de 18 anys
51;Población;Convivencia;Porcentaje de unidades familiares con un menor de 18 años;Percentatge de fulls familiars amb un menor de 18 anys
52;Población;Convivencia;Porcentaje de unidades familiares con dos menores de 18 años;Percentatge de fulls familiars amb dos menors de 18 anys
53;Población;Convivencia;Porcentaje de unidades familiares con tres o más menores de 18 años;Percentatge de fulls familiars amb tres o m√©s menors de 18 anys
54;Población;Movimiento natural de la población;Nacimientos registrados en el Padrón;Naixements registrats al Padr√≥
55;Población;Movimiento natural de la población;Tasa bruta de natalidad registrada en el Padrón;Taxa bruta de natalitat registrada al Padr√≥
56;Población;Movimiento natural de la población;Tasa global de fecundidad registrada en el Padró;Taxa global de fecunditat registrada al Padr√≥
57;Población;Movimiento natural de la población;Número de defunciones registradas en el Padrón;Nombre de defuncions registrades al Padr√≥
58;Población;Movimiento natural de la población;Tasa bruta de mortalidad registrada en el Padrón;Taxa bruta de mortalitat registrada al Padr√≥
59;Población;Movimiento natural de la población;Tasa de mortalidad de los hombres registrada en el Padrón;Taxa de mortalitat dels homes registrada al Padr√≥
60;Población;Movimiento natural de la población;Tasa de mortalidad de las mujeres registrada en el Padrón;Taxa de mortalitat de les dones registrada al Padr√≥
61;Población;Movimiento natural de la población;Crecimiento vegetativo registrado en el Padrón;Creixement vegetatiu registrat al Padr√≥
62;Población;Movimientos migratorios;Población inmigrante;Poblaci√≥ immigrant
63;Población;Movimientos migratorios;Tasa bruta de inmigración intraurbana;Taxa bruta d'immigraci√≥
64;Población;Movimientos migratorios;Proporción de inmigrantes de nacionalidad extranjera;Proporci√≥ d'immigrants de nacionalitat estrangera
65;Población;Movimientos migratorios;Población emigrante;Poblaci√≥ emigrant
66;Población;Movimientos migratorios;Tasa bruta de emigración;Taxa bruta d'emigraci√≥
67;Población;Movimientos migratorios;Saldo migratorio;Saldo migratori
68;Población;Movimientos Intraurbanos;Tasa bruta de inmigración intraurbana;Taxa bruta de inmigraci√≥ intraurbana
69;Población;Movimientos Intraurbanos;Tasa bruta de emigración intraurbana;Taxa bruta d'emigraci√≥ intraurbana
70;Población;Movimientos Intraurbanos;Saldo neto;Saldo net
71;Transporte;Vehículos;Número de vehículos;Nombre de vehicles
72;Transporte;Vehículos;Distribución porcentual del número de vehículos;Distribuci√≥ percentual del nombre de vehicles
73;Transporte;Vehículos;Número de turismos;Nombre de turismes
74;Transporte;Vehículos;Distribución porcentual del número de turismos;Distribuci√≥ percentual del nombre de turismes
75;Transporte;Vehículos;Turismos particulares por cada 1.000 habitantes;Turismes particulars per cada 1.000 habitants
76;Transporte;Vehículos;Porcentaje de turismos particulares de 10 y más años;Percentatge de turismes particulars de 10 i m√©s anys
77;Transporte;Vehículos;Edad media de los turismos particulares;Edat mitjana dels turismes particulars
78;Transporte;Vehículos;Porcentaje de turismos particulares de 16 y más CV;Percentatge de turismes particulars de 16 i m√©s CV
79;Transporte;Vehículos;Motocicletas por cada 1.000 habitantes;Motocicletes per cada 1.000 habitants
80;Edificación y Vivienda;Vivienda;Número de viviendas;Nombre d'habitatges
81;Edificación y Vivienda;Vivienda;Superficie construida media de las viviendas;Superf√≠cie constru√Øda mitjana dels habitatges
82;Edificación y Vivienda;Vivienda;Porcentaje de viviendas de menos de 60 metros cuadrados;Percentatge d'habitatges de menys de 60 metres quadrats
83;Edificación y Vivienda;Vivienda;Porcentaje de viviendas de menos de 80 metros cuadrados;Percentatge d'habitatges de menys de 80 metres quadrats
84;Edificación y Vivienda;Vivienda;Porcentaje de viviendas de más de 120 metros cuadrados;Percentatge d'habitatges de m√©s de 120 metres quadrats
85;Edificación y Vivienda;Vivienda;Porcentaje de viviendas con menos de 10 años;Percentatge d'habitatges amb menys de 10 anys
86;Edificación y Vivienda;Vivienda;Porcentaje de viviendas con menos de 5 años;Percentatge d'habitatges amb menys de 5 anys
87;Edificación y Vivienda;Vivienda;Porcentaje de viviendas con más de 50 años;Percentatge d'habitatges amb m√©s de 50 anys
88;Edificación y Vivienda;Vivienda;Valor catastral medio por vivienda;Valor cadastral mitj√† per habitatge
89;Edificación y Vivienda;Vivienda;Valor catastral medio por metro cuadrado;Valor cadastral mitj√† per metre quadrat
90;Edificación y Vivienda;Vivienda;% Viviendas con valor catastral menor de 18.000 euros;% Habitatges amb valor cadastral menor de 18.000 euros
91;Edificación y Vivienda;Vivienda;% Viviendas con valor catastral mayor de 48.000 euros;% Habitatges amb valor cadastral major de 48.000 euros
92;Edificación y Vivienda;Vivienda;Superficie total de solares;Superf√≠cie total de solars
93;Edificación y Vivienda;Vivienda;Superficie total de aparcamientos;Superf√≠cie total d'aparcaments
94;Edificación y Vivienda;Vivienda;Superficie de aparcamiento por vivienda;Superf√≠cie d'aparcament per habitatge
95;Edificación y Vivienda;Vivienda;Superficie de aparcamiento por turismo;Superf√≠cie d'aparcament per turisme
96;Actividad Económica Renta y Consumo;Actividad Económica;Actividades en el Impuesto de Actividades Económicas;Activitats a l'Impost d'Activitats Econ√≤miques
97;Actividad Económica Renta y Consumo;Actividad Económica;Grado de terciarización económica;Grau de terciaritzaci√≥ econ√≤mica
98;Actividad Económica Renta y Consumo;Actividad Económica;Actividades económicas por 1.000 habitantes;Activitats econ√≤miques per 1.000 habitants
101;Participación Ciudadana;Consultas Electorales;% Participación en las Elecciones Locales;% Participaci√≥ a les Eleccions Locals
102;Participación Ciudadana;Consultas Electorales;% Votos a Compromís en las Elecciones Locales;% Vots a Comprom√≠s a les Eleccions Locals
103;Participación Ciudadana;Consultas Electorales;% Votos en el PP en las Elecciones Locales;% Vots al PP a les Eleccions Locals
104;Participación Ciudadana;Consultas Electorales;% Votos en el PSOE en las Elecciones Locales;% Vots al PSOE a les Eleccions Locals
105;Participación Ciudadana;Consultas Electorales;% Votos en Ciudadanos en las Elecciones Locales;% Vots a Ciudadanos a les Eleccions Locals
106;Participación Ciudadana;Consultas Electorales;% Votos a VOX en las Elecciones Locales;% Vots a VOX a les Eleccions Locals
107;Participación Ciudadana;Consultas Electorales;% Participación en las Elecciones Autonómicas;% Participaci√≥ a les Eleccions Auton√≤miques
108;Participación Ciudadana;Consultas Electorales;% Votos a Compromís a las Elecciones Autonómicas;% Vots a Comprom√≠s a les Eleccions Auton√≤miques
109;Participación Ciudadana;Consultas Electorales;% Votos en el PSOE en las Elecciones Autonómicas;% Vots al PSOE a les Eleccions Auton√≤miques
110;Participación Ciudadana;Consultas Electorales;% Votos en Ciudadanos en las Elecciones Autonómicas;% Vots a Ciudadanos a les Eleccions Auton√≤miques
111;Participación Ciudadana;Consultas Electorales;% Votos en el PP en las Elecciones Autonómicas;% Vots al PP a les Eleccions Auton√≤miques
112;Participación Ciudadana;Consultas Electorales;% Votos a VOX en las Elecciones Autonómicas;% Vots a VOX a les Eleccions Auton√≤miques
113;Participación Ciudadana;Consultas Electorales;% Participación en las Elecciones Generales;% Participaci√≥ a les Eleccions Generals
114;Participación Ciudadana;Consultas Electorales;% Votos en el PSOE en las Elecciones Generales;% Vots al PSOE a les Eleccions Generals
115;Participación Ciudadana;Consultas Electorales;% Votos en el PP en las Elecciones Generales;% Vots al PP a les Eleccions Generals
116;Participación Ciudadana;Consultas Electorales;% Votos a VOX en las Elecciones Generales;% Vots a VOX a les Eleccions Generals
117;Participación Ciudadana;Consultas Electorales;% Votos en PODEMOS-EUPV en las Elecciones Generales;% Vots a PODEMOS-EUPV a les Eleccions Generals
118;Participación Ciudadana;Consultas Electorales;% Votos a Compromís en las Elecciones Generales;% Vots a Comprom√≠s a les Eleccions Generals
119;Participación Ciudadana;Consultas Electorales;% Participación en las Elecciones Europeas;% Participaci√≥ a les Eleccions Europees
120;Participación Ciudadana;Consultas Electorales;% Votos en el PSOE en las Elecciones Europeas;% Vots al PSOE a les Eleccions Europees
121;Participación Ciudadana;Consultas Electorales;% Votos en el PP en las Elecciones Europeas;% Vots al PP a les Eleccions Europees
122;Participación Ciudadana;Consultas Electorales;% Votos en Cs en las Elecciones Europeas;% Vots a Cs a les Eleccions Europees
123;Participación Ciudadana;Consultas Electorales;% Votos en PODEMOS-IU en las Elecciones Europeas;% Vots a PODEMOS-IU a les Eleccions Europees
124;Participación Ciudadana;Consultas Electorales;% Votos a Compromís por Europa en las Elecciones Europeas;% Vots a Comprom√≠s per Europa a les Eleccions Europees
200;Actividad Económica Renta y Consumo;Servicios;Total Servicios;Total Servicios
201;Actividad Económica Renta y Consumo;Servicios;Comercio Restaurantes Hostelería y Reparaciones;Comercio Restaurantes Hostelería y Reparaciones
202;Actividad Económica Renta y Consumo;Servicios;Transportes y comunicaciones;Transportes y comunicaciones
203;Actividad Económica Renta y Consumo;Servicios;Instituciones financieras y seguros;Instituciones financieras y seguros
204;Actividad Económica Renta y Consumo;Servicios;Otros servicios;Otros servicios
301;Airbnb;Airbnb;Número de Airbnb;Número de Airbnb
302;Airbnb;Airbnb;Número de Pisos Turísticos;Número de Pisos Turisticos
401;Renta;Renta;Renta neta media por persona;Renda neta mitjana per persona
402;Renta;Renta;Renta neta media por hogar;Renda neta mitjana per llar
403;Renta;Renta;Media de la renta por unidad de consumo;Mitjana de la renda per unitat de consum
407;Renta;Renta;Porcentaje de ingresos - Salarios;Percentatge d'ingressos procedents de salaris
408;Renta;Renta;Porcentaje de ingresos - Pensiones;Percentatge d'ingressos procedents de pensions
409;Renta;Renta;Porcentaje de ingresos - Desocupación;Percentatge d'ingressos procedents de prestacions per desocupació
410;Renta;Renta;Porcentaje de ingresos - Incapacidad;Percentatge d'ingressos procedents d'altres prestacions (incapacitat dependència...).
411;Renta;Renta;Porcentaje de ingresos - Arrendamientos;Percentatge d'ingressos procedents d'altres ingressos (arrendament d'immobles rendiments d'activitats econòmiques)
474;Renta;Vulnerabilidad;Índice de Gini;Índex de Gini
475;Renta;Vulnerabilidad;Distribución de la renta P80/P20;Distribució de la renda P80/P20